Run Name,Motor Stop Time (s),OOD Detector Start Time (s),OOD Detector End Time (s),Image Capture Time (s),OOD Score
ST1,0.0,1614244372.993270,1614244373.502083,1614244373.0045,0.06980973482131958
ST1,0.0,1614244373.502083,1614244374.330222,1614244373.535303,0.07322895526885986
ST1,0.0,1614244374.330222,1614244374.789020,1614244374.3032374,0.05797606706619263
ST1,1614244375.198918,1614244374.789020,1614244375.189036,1614244374.7695048,0.11649030447006226
ST2,0.0,0.0,1614244459.237010,1614244458.323873,0.05388540029525757
ST2,0.0,1614244459.237010,1614244460.249010,1614244459.2236207,0.052546024322509766
ST2,0.0,1614244460.249010,1614244461.060602,1614244460.2572114,0.04674935340881348
ST2,0.0,1614244461.060602,1614244461.612386,1614244461.090984,0.05309569835662842
ST2,0.0,1614244461.612386,1614244462.032210,1614244461.5906494,0.09160619974136353
ST2,1614244462.672585,1614244462.032210,1614244462.653758,1614244462.0238886,0.13604623079299927
ST3,0.0,0.0,1614244538.096946,1614244537.396828,0.04190528392791748
ST3,0.0,1614244538.096946,1614244538.503940,1614244538.0857623,0.041124820709228516
ST3,0.0,1614244538.503940,1614244538.818030,1614244538.483147,0.03919702768325806
ST3,0.0,1614244538.818030,1614244539.136909,1614244538.8162162,0.04794740676879883
ST3,0.0,1614244539.136909,1614244539.415159,1614244539.116915,0.06068849563598633
ST3,0.0,1614244539.415159,1614244539.750466,1614244539.417217,0.07746422290802002
ST3,0.0,1614244539.750466,1614244540.509521,1614244539.7519782,0.05680638551712036
ST3,1614244541.230420,1614244540.509521,1614244541.212994,1614244540.5138936,0.12902963161468506
ST4,0.0,0.0,1614244626.775036,1614244625.807067,0.03714478015899658
ST4,0.0,1614244626.775036,1614244627.220113,1614244626.7688384,0.0376737117767334
ST4,0.0,1614244627.220113,1614244627.840803,1614244627.2070327,0.03964608907699585
ST4,0.0,1614244627.840803,1614244628.572733,1614244627.8084142,0.07089543342590332
ST4,0.0,1614244628.572733,1614244629.051904,1614244628.568271,0.09022998809814453
ST4,1614244629.431739,1614244629.051904,1614244629.421965,1614244629.0406957,0.15477508306503296
ST5,0.0,0.0,1614244713.440248,1614244712.5573075,0.06774002313613892
ST5,0.0,1614244713.440248,1614244714.299904,1614244713.4242477,0.06857490539550781
ST5,0.0,1614244714.299904,1614244715.135176,1614244714.324922,0.04398941993713379
ST5,0.0,1614244715.135176,1614244715.750548,1614244715.1230502,0.06400877237319946
ST5,0.0,1614244715.750548,1614244716.155451,1614244715.7230463,0.06954300403594971
ST5,0.0,1614244716.155451,1614244716.703553,1614244716.1582496,0.05876791477203369
ST5,0.0,1614244716.703553,1614244717.353145,1614244716.688792,0.07900255918502808
ST5,1614244717.966898,1614244717.353145,1614244717.946448,1614244717.3254974,0.17510640621185303
ST6,0.0,0.0,1614244826.368073,1614244825.1012955,0.048076748847961426
ST6,0.0,1614244826.368073,1614244827.321976,1614244826.3655417,0.048576414585113525
ST6,0.0,1614244827.321976,1614244827.679483,1614244827.2972612,0.04595077037811279
ST6,0.0,1614244827.679483,1614244827.967357,1614244827.663625,0.0750049352645874
ST6,0.0,1614244827.967357,1614244828.316948,1614244827.9648004,0.08062708377838135
ST6,1614244828.694347,1614244828.316948,1614244828.684319,1614244828.299474,0.1295972466468811
ST7,0.0,0.0,1614244914.950000,1614244913.8204978,0.04278963804244995
ST7,0.0,1614244914.950000,1614244915.792776,1614244914.9190557,0.04121661186218262
ST7,0.0,1614244915.792776,1614244916.167732,1614244915.7842221,0.04678124189376831
ST7,0.0,1614244916.167732,1614244916.503896,1614244916.151432,0.05916041135787964
ST7,0.0,1614244916.503896,1614244916.879367,1614244916.4880514,0.07445412874221802
ST7,0.0,1614244916.879367,1614244917.242213,1614244916.849977,0.06889915466308594
ST7,0.0,1614244917.242213,1614244917.594172,1614244917.2190502,0.08279275894165039
ST7,1614244917.941320,1614244917.594172,1614244917.926858,1614244917.5845056,0.1391403079032898
ST8,0.0,0.0,1614244996.424121,1614244995.2527235,0.046274781227111816
ST8,0.0,1614244996.424121,1614244997.201472,1614244996.4087996,0.05193716287612915
